首站抵達地,細分,Year,Number_of_Travelers
亞洲地區,日本Japan,2002,NA
亞洲地區,日本Japan,2003,NA
亞洲地區,日本Japan,2004,NA
亞洲地區,日本Japan,2005,NA
亞洲地區,日本Japan,2006,NA
亞洲地區,日本Japan,2007,NA
亞洲地區,日本Japan,2008,1309847
亞洲地區,日本Japan,2009,1113857
亞洲地區,日本Japan,2010,1377957
亞洲地區,日本Japan,2011,1136394
亞洲地區,日本Japan,2012,1560300
亞洲地區,日本Japan,2013,2346007
亞洲地區,日本Japan,2014,2971846
亞洲地區,日本Japan,2015,3797879
亞洲地區,日本Japan,2016,4295240
亞洲地區,日本Japan,2017,4615873
亞洲地區,日本Japan,2018,4825948
亞洲地區,日本Japan,2019,4911681
亞洲地區,日本Japan,2020,697981
亞洲地區,日本Japan,2021,14049
亞洲地區,日本Japan,2022,354219
亞洲地區,日本Japan,2023,4225804
亞洲地區,日本Japan,2024,6006116
亞洲地區,韓國Korea,2002,NA
亞洲地區,韓國Korea,2003,NA
亞洲地區,韓國Korea,2004,NA
亞洲地區,韓國Korea,2005,NA
亞洲地區,韓國Korea,2006,NA
亞洲地區,韓國Korea,2007,NA
亞洲地區,韓國Korea,2008,363122
亞洲地區,韓國Korea,2009,388806
亞洲地區,韓國Korea,2010,406290
亞洲地區,韓國Korea,2011,423266
亞洲地區,韓國Korea,2012,532729
亞洲地區,韓國Korea,2013,518528
亞洲地區,韓國Korea,2014,626694
亞洲地區,韓國Korea,2015,500100
亞洲地區,韓國Korea,2016,808420
亞洲地區,韓國Korea,2017,888526
亞洲地區,韓國Korea,2018,1086516
亞洲地區,韓國Korea,2019,1209062
亞洲地區,韓國Korea,2020,163953
亞洲地區,韓國Korea,2021,8269
亞洲地區,韓國Korea,2022,78318
亞洲地區,韓國Korea,2023,954693
亞洲地區,韓國Korea,2024,1429398
亞洲地區,香港Hong Kong,2002,NA
亞洲地區,香港Hong Kong,2003,NA
亞洲地區,香港Hong Kong,2004,NA
亞洲地區,香港Hong Kong,2005,NA
亞洲地區,香港Hong Kong,2006,NA
亞洲地區,香港Hong Kong,2007,NA
亞洲地區,香港Hong Kong,2008,2851170
亞洲地區,香港Hong Kong,2009,2261001
亞洲地區,香港Hong Kong,2010,2308633
亞洲地區,香港Hong Kong,2011,2156760
亞洲地區,香港Hong Kong,2012,2021212
亞洲地區,香港Hong Kong,2013,2038732
亞洲地區,香港Hong Kong,2014,2018129
亞洲地區,香港Hong Kong,2015,2008153
亞洲地區,香港Hong Kong,2016,1902647
亞洲地區,香港Hong Kong,2017,1773252
亞洲地區,香港Hong Kong,2018,1696265
亞洲地區,香港Hong Kong,2019,1676374
亞洲地區,香港Hong Kong,2020,158008
亞洲地區,香港Hong Kong,2021,12692
亞洲地區,香港Hong Kong,2022,52725
亞洲地區,香港Hong Kong,2023,743443
亞洲地區,香港Hong Kong,2024,1203821
亞洲地區,中國大陸China,2002,NA
亞洲地區,中國大陸China,2003,NA
亞洲地區,中國大陸China,2004,NA
亞洲地區,中國大陸China,2005,NA
亞洲地區,中國大陸China,2006,NA
亞洲地區,中國大陸China,2007,NA
亞洲地區,中國大陸China,2008,188744
亞洲地區,中國大陸China,2009,1516087
亞洲地區,中國大陸China,2010,2424242
亞洲地區,中國大陸China,2011,2846572
亞洲地區,中國大陸China,2012,3139055
亞洲地區,中國大陸China,2013,3072327
亞洲地區,中國大陸China,2014,3267238
亞洲地區,中國大陸China,2015,3403920
亞洲地區,中國大陸China,2016,3685477
亞洲地區,中國大陸China,2017,3928352
亞洲地區,中國大陸China,2018,4172704
亞洲地區,中國大陸China,2019,4043686
亞洲地區,中國大陸China,2020,414634
亞洲地區,中國大陸China,2021,128637
亞洲地區,中國大陸China,2022,165895
亞洲地區,中國大陸China,2023,1761134
