首站抵達地,細分,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
亞洲地區,日本Japan,"797,460","731,330","1,051,954","1,180,406","1,214,058","1,280,853","1,309,847","1,113,857","1,377,957","1,136,394","1,560,300","2,346,007","2,971,846","3,797,879","4,295,240","4,615,873","4,825,948","4,911,681","697,981","14,049","354,219","4,225,804","6,006,116"
亞洲地區,韓國Korea,"120,208","179,893","298,325","368,206","396,705","457,095","363,122","388,806","406,290","423,266","532,729","518,528","626,694","500,100","808,420","888,526","1,086,516","1,209,062","163,953","8,269","78,318","954,693","1,429,398"
亞洲地區,香港Hong Kong,"2,418,872","1,869,069","2,559,705","2,807,027","2,993,317","3,030,971","2,851,170","2,261,001","2,308,633","2,156,760","2,021,212","2,038,732","2,018,129","2,008,153","1,902,647","1,773,252","1,696,265","1,676,374","158,008","12,692","52,725","743,443","1,203,821"
亞洲地區,中國大陸China,-,-,-,-,-,-,"188,744","1,516,087","2,424,242","2,846,572","3,139,055","3,072,327","3,267,238","3,403,920","3,685,477","3,928,352","4,172,704","4,043,686","414,634","128,637","165,895","1,761,134","2,770,284"
亞洲地區,澳門Macao,"1,269,840","837,936","1,038,006","1,163,822","1,232,232","1,196,110","926,593","739,263","667,910","587,633","527,050","514,701","493,188","527,144","598,850","589,147","605,468","596,721","54,537","11,468","7,556","275,979","487,441"
亞洲地區,越南Vietnam,"225,733","222,487","266,115","234,009","242,852","272,020","285,263","264,819","313,987","318,587","341,511","361,957","339,107","409,013","465,944","564,002","659,123","853,257","158,286","11,123","133,203","853,859","1,263,352"
亞洲地區,泰國Thailand,"530,945","392,414","422,189","268,231","379,275","353,439","332,997","258,449","350,074","382,635","306,746","507,616","419,133","599,523","532,787","553,804","679,145","830,166","127,693","7,976","104,892","777,326","1,121,756"
亞洲地區,馬來西亞Malaysia,"186,791","121,267","180,883","161,296","181,911","187,788","157,650","153,695","212,509","209,164","193,170","226,919","198,902","201,631","245,298","296,370","316,926","299,959","49,913","1,373","29,909","245,136","320,450"
亞洲地區,新加坡Singapore,"190,455","125,491","160,088","184,926","204,834","189,835","167,479","137,348","166,126","207,808","241,893","297,588","283,925","318,516","319,915","326,634","354,667","387,485","65,674","13,656","78,961","316,715","380,127"
亞洲地區,菲律賓Philippines,"128,158","91,418","112,552","119,125","110,041","107,824","114,155","97,372","139,762","178,876","211,385","129,361","133,583","180,091","231,801","236,597","246,691","331,792","49,093","2,099","29,027","208,399","225,716"
亞洲地區,汶萊Brunei,"5,850","3,770","5,795","296","276","670","1,233","216","714","1,628","1,100","2,411","298","285","540","801","1,093","6,317","1,594","49","36","6,821","13,651"
